ammarabouzor__tui-journal.2b4540d	512/2265=22.60%	rc=0	2469s	2026-05-16T22:52:58+00:00
dundee__gdu.ede21d2	275/1641=16.76%	rc=	1623s	2026-05-16T22:56:38+00:00
alexpovel__srgn.89f943b	0/2080=0.00%	rc=124	2700s	2026-05-16T22:56:49+00:00
blacknon__hwatch.edfcb62	-	rc=124	2700s	2026-05-16T22:56:49+00:00
git-bahn__git-graph.87b4473	297/733=40.52%	rc=0	1035s	2026-05-16T23:03:12+00:00
elkowar__pipr.fae0b17	-	rc=124	1500s	2026-05-16T23:04:38+00:00
halitechallenge__halite.822cfb6	37/391=9.46%	rc=0	814s	2026-05-16T23:05:16+00:00
esubaalew__run.0fb9dec	-	rc=124	1500s	2026-05-16T23:07:49+00:00
eudoxia0__hashcards.48aa136	-	rc=124	1500s	2026-05-16T23:08:40+00:00
incu6us__goimports-reviser.81bd549	235/597=39.36%	rc=0	885s	2026-05-16T23:11:34+00:00
epistates__treemd.825c6dd	261/2019=12.93%	rc=0	1862s	2026-05-16T23:11:47+00:00
eliukblau__pixterm.1a93fd5	60/458=13.1%	rc=	2706s	2026-05-16T23:14:41+00:00
gabotechs__dep-tree.60a95a2	323/1466=22.03%	rc=0	2023s	2026-05-16T23:18:05+00:00
kisielk__errcheck.dacab89	107/532=20.11%	rc=0	972s	2026-05-16T23:21:29+00:00
guumaster__hostctl.d6d9699	311/1722=18.06%	rc=0	2052s	2026-05-16T23:23:36+00:00
ksxgithub__parallel-disk-usage.96978ed	204/630=32.38%	rc=0	993s	2026-05-16T23:25:15+00:00
lh3__seqtk.94e7070	73/440=16.59%	rc=0	826s	2026-05-16T23:25:33+00:00
hpjansson__chafa.dd4d4c1	406/2808=14.46%	rc=0	2060s	2026-05-16T23:27:18+00:00
hush-shell__hush.560c33a	72/1615=4.46%	rc=	1948s	2026-05-16T23:29:09+00:00
kaushiksrini__parqeye.8072121	-	rc=124	1500s	2026-05-16T23:29:38+00:00
mibk__dupl.1bf052b	84/450=18.67%	rc=0	847s	2026-05-16T23:32:12+00:00
konradsz__igrep.aa75630	-	rc=124	1500s	2026-05-16T23:32:50+00:00
isona__dirble.e2dea9f	412/1144=36.01%	rc=0	2204s	2026-05-16T23:33:33+00:00
lymphatus__caesium-clt.a529b2e	82/755=10.86%	rc=	1252s	2026-05-16T23:35:36+00:00
kyoh86__richgo.313114f	153/950=16.11%	rc=0	1512s	2026-05-16T23:36:47+00:00
jesseduffield__lazygit.1d0db51	315/1200=26.25%	rc=0	2402s	2026-05-16T23:43:14+00:00
psampaz__go-mod-outdated.bb79367	68/342=19.88%	rc=0	626s	2026-05-16T23:43:16+00:00
nikolassv__bartib.6b9b5ce	-	rc=124	1500s	2026-05-16T23:50:15+00:00
pemistahl__grex.fa3e8ed	-	rc=124	1500s	2026-05-16T23:54:39+00:00
pier-cli__pier.5e1bde9	100/1076=9.29%	rc=0	1514s	2026-05-16T23:57:26+00:00
parcel-bundler__lightningcss.aa2ed1e	70/3666=1.91%	rc=	1823s	2026-05-16T23:59:35+00:00
naggie__dstask.ff57396	167/1661=10.05%	rc=0	2341s	2026-05-17T00:00:30+00:00
riquito__tuc.16fb471	329/1793=18.35%	rc=	1718s	2026-05-17T00:04:17+00:00
rust-lang__mdbook.37273ba	-	rc=124	1500s	2026-05-17T00:08:16+00:00
nikoladucak__caps-log.2cf2d1e	-	rc=124	2700s	2026-05-17T00:08:36+00:00
noborus__ov.b96c2ba	-	rc=124	2700s	2026-05-17T00:10:33+00:00
rust-ethereum__ethabi.b1710ad	226/1250=18.08%	rc=0	1721s	2026-05-17T00:11:55+00:00
simeg__eureka.df3796c	75/400=18.75%	rc=0	875s	2026-05-17T00:12:01+00:00
nuta__nsh.bdd0702	-	rc=124	2700s	2026-05-17T00:12:18+00:00
robertdavidgraham__masscan.b99d433	227/3073=7.39%	rc=0	2270s	2026-05-17T00:14:37+00:00
segmentio__chamber.5f93f5f	-	rc=124	1500s	2026-05-17T00:15:15+00:00
rhysd__kiro-editor.4157485	-	rc=124	2700s	2026-05-17T00:18:33+00:00
shashwatah__jot.a92aad8	-	rc=124	1500s	2026-05-17T00:19:39+00:00
sitkevij__hex.61ae69b	200/1247=16.04%	rc=	1537s	2026-05-17T00:25:16+00:00
wintermute-cell__ngrrram.8ea13c3	98/332=29.52%	rc=0	974s	2026-05-17T00:28:15+00:00
tomarrell__wrapcheck.c058da1	161/669=24.07%	rc=0	1169s	2026-05-17T00:30:03+00:00
skeema__skeema.6a76243	825/2475=33.33%	rc=0	1871s	2026-05-17T00:31:41+00:00
stranger6667__jsonschema.d52e881	-	rc=124	1500s	2026-05-17T00:33:17+00:00
sstadick__hck.b66c751	101/1138=8.88%	rc=	1758s	2026-05-17T00:33:38+00:00
tarka__xcp.5e5b448	44/1473=2.99%	rc=0	1990s	2026-05-17T00:41:47+00:00
trasta298__keifu.3331426	86/415=20.72%	rc=0	2210s	2026-05-17T00:48:45+00:00
agourlay__zip-password-finder.704700d	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
astro__deadnix.d590041	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
canop__rhit.ae90bcb	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
clog-tool__clog-cli.7066cba	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
cslarsen__jp2a.61d205f	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
drew-alleman__datasurgeon.d257cee	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
ecumene__rust-sloth.051c559	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
ggreer__the_silver_searcher.a61f178	STUCK	rc=stuck	9551s	2026-05-17T00:51:14+00:00
